"id","bspl","detailname","resultname"
2668,BS,장기종업원급여,충당부채
2669,cf,영업활동에사용된현금흐름,영업활동현금흐름
2670,BS,기타채무및금융부채,금융부채
2671,BS,관계기업의기타포괄손익의변동,기타자본
2672,BS,상각후원가측정채무상품,금융자산
2673,BS,기타포괄손익지분상품평가손익,기타자본
2674,PL,임가공매출액,매출액
2675,BS,기타포괄손익지분상품평가손익,기타자본
2676,BS,집기와비품,유형자산
2677,BS,현재가치할인차금,차감형
2678,BS,선불카드예치금,현금성자산
2679,BS,주주임원단기차입금,금융부채
2680,BS,퇴직연금충당부채,충당부채
2681,BS,현재가치할인차금,차감형
2682,BS,유형자산재평가이익,유형자산
2683,PL,통신료매출,매출액
2684,PL,통신매출원가,매출원가
2685,PL,비대면서비스매출원가,매출원가
2686,PL,관리비수익,영업외손익
2687,PL,판매수수료수입,영업외손익
2688,BS,유동성기타수취채권,금융자산
2689,BS,공동관계기업투자,투자주식
2690,BS,기타유동금융채권,금융자산
2691,BS,기타비유동금융채권,금융자산
2692,PL,당기손익으로재분류되지않은포괄손익,총포괄손익
2693,BS,기타금융채권,금융자산
2694,BS,비유동장기리스부채,금융부채
2695,PL,관계및공동기업투자손실,영업외손익
2696,BS,재고자산평가손실충당금,차감형
2697,PL,장기투자증권평가이익,위치파악2
2698,PL,장기투자증권평가손실,위치파악2
2699,BS,비유동파생금융상품부채,금융부채
2700,BS,장기투자금융상품,금융자산
2701,BS,유동상각후원가측정금융부채,금융부채
2702,PL,계속영업영업이익,제거
2703,BS,종속기업및공동관계기업투자,투자주식
2704,PL,관계기업및종속기업지분관련이익,영업외손익
2705,BS,종속관계및공동기업투자주식,투자주식
2706,PL,종속관계및공동기업투자관련손실,영업외손익
2707,BS,기타포괄손익공정가치측정금융자산관련손익,기타자본
2708,BS,종속기업및관계공동기업투자자산,투자주식
2709,BS,금융상품,금융자산
2710,PL,기본및희석주당중단영업이익,중단영업손익
2711,BS,유동금융리스채권,금융자산
2712,BS,기타의충당부채,충당부채
2713,BS,유동성기타의충당부채,충당부채
2714,PL,금융수익유효이자율법,금융손익
2715,BS,공동기업및종속기업투자,투자주식
2716,BS,확정급여부채및기타장기급여채무,금융부채
2717,BS,지배기업소유주지분합계,기타자본
2718,BS,기타포괄손익공정가치평가금융상품평가손익,기타자본
2719,BS,종속기업및관계기업에대한투자,투자주식
2720,BS,기타단기충당부채,충당부채
2721,BS,주식,금융자산
2722,BS,외화주식,금융자산
2723,BS,연결대상회사투자자산,금융자산
2724,BS,장외파생상품자산,금융자산
2725,BS,매입대출채권,금융부채
2726,BS,기타대출채권,금융자산
2727,BS,증권미수금,금융자산
2728,BS,기타미수금,금융자산
2729,BS,투자자예수금,기타부채
2730,BS,당기손익공정가치인식지정금융부채,금융부채
2731,BS,후순위사채,금융부채
2732,BS,매도옵션부채,금융부채
2733,BS,장외파생상품부채,금융부채
2734,BS,제세금예수금,기타부채
2735,PL,후속적으로당기손익으로재분류되지않는포괄손익,재분류
2736,BS,당기손익공정가치측정항목지정금융부채신용위험변동효과,금융부채
2737,PL,수탁수수료,매출액
2738,PL,인수및주선수수료,매출액
2739,PL,집합투자증권취급수수료,매출액
2740,PL,파생결합증권수수료,매출액
2741,PL,금융자문수수료,매출액
2742,PL,매입확약수수료,매출액
2743,PL,당기손익공정가치측정금융상품평가및처분이익,위치파악2
2744,PL,당기손익공정가치측정금융부채상환이익,금융손익
2745,PL,당기손익공정가치인식지정금융부채상환이익,금융손익
2746,PL,당기손익공정가치인식지정금융부채평가이익,위치파악2
2747,PL,선물거래이익,금융손익
2748,PL,장내옵션거래이익,금융손익
2749,PL,장외파생상품거래이익,금융손익
2750,PL,"상각후원가측정대출채권평가및처분이익

",위치파악2
2751,PL,대출채권매각이익,금융손익
2752,PL,지급보증충당부채환입,영업외손익
2753,PL,복구충당부채환입,영업외손익
2754,PL,매매수수료,매출액
2755,PL,기타수수료비용,기타판관비
2756,PL,당기손익공정가치측정금융상품평가및처분손실,위치파악2
2757,PL,당기손익공정가치측정금융부채상환손실,금융손익
2758,PL,당기손익공정가치측정금융부채평가손실,위치파악2
2759,PL,당기손익공정가치인식지정금융부채상환손실,금융손익
2760,PL,당기손익공정가치인식지정금융부채평가손실,위치파악2
2761,PL,선물거래손실,금융손익
2762,PL,장내옵션거래손실,금융손익
2763,PL,장외파생상품거래손실,금융손익
2764,PL,"상각후원가측정대출채권평가및처분손실
",위치파악2
2765,PL,손실충당금전입액,영업외손익
2766,PL,기타손실충당금전입액,영업외손익
2767,PL,지급보증충당부채전입,영업외손익
2768,PL,복구충당부채전입,영업외손익
2769,BS,"기타포괄손익공정가치측정금융자산평가이익

",기타자본
2770,BS,종속기업과관계기업및공동기업투자,투자주식
2771,PL,장기투자자산평가손익,위치파악2
2772,PL,장기투자자산처분손익,금융손익
2773,BS,보통예금,현금성자산
2774,BS,당좌예금,현금성자산
2775,BS,기타예금,현금성자산
2776,BS,투자자예탁금별도예치금,현금성자산
2777,BS,장기성예금,현금성자산
2778,BS,당기손익공정가치측정증권,금융자산
2779,BS,집합투자증권,금융자산
2780,BS,기업어음증권,금융부채
2781,BS,기타포괄손익공정가치측정증권,금융자산
2782,BS,파생결합증권,금융자산
2783,BS,토지,유형자산
2784,BS,건물,유형자산
2785,BS,감가상각누계액,차감형
2786,PL,송금수수료수익,영업외손익
2787,PL,기타수수료수익,영업외손익
2788,PL,당기손익공정가치측정증권처분이익,금융손익
2789,PL,당기손익공정가치측정증권평가이익,위치파악2
2790,PL,파생결합증권상환이익,금융손익
2791,PL,송금수수료,기타판관비
2792,PL,당기손익공정가치측정증권처분손실,금융손익
2793,PL,당기손익공정가치측정증권평가손실,위치파악2
